,Category,Fund Family,Net Assets,YTD Return,Yield,Morningstar Rating,Inception Date,Last Dividend,Last Cap Gain,Holdings Turnover,Average for Category,Expense,Annual Report Expense Ratio (net),Prospectus Net Expense Ratio,Prospectus Gross Expense Ratio,Max 12b1 Fee,Max Front End Sales Load,Max Deferred Sales Load,3 Yr Expense Projection,5 Yr Expense Projection,10 Yr Expense Projection,TRHistoryAvailable
0,Mid-Cap Growth,Sit,95.6M,20.32%,0.00%,★,"Jun 30, 1994",0.00,0.00,26.34%,N/A,SSMGX,1.50%,1.50%,1.50%,N/A,N/A,N/A,477,824,"1,801",True
1,Mid-Cap Growth,PGIM Funds (Prudential),3.35B,30.04%,0.00%,★★★,"Dec 30, 1996",0.00,0.00,36.00%,N/A,PEEAX,1.06%,1.06%,1.06%,0.30%,5.50%,N/A,869,"1,103","1,773",True
2,Mid-Cap Growth,TIAA Investments,1.47B,27.25%,0.04%,★★★,"Sep 30, 2002",0.00,0.00,70.00%,N/A,TCMGX,0.77%,0.77%,0.77%,0.25%,N/A,N/A,246,428,954,True
3,Mid-Cap Growth,Guggenheim Investments,86.76M,22.79%,0.00%,★★,"Jan 28, 1999",0.00,0.00,52.00%,N/A,SUFCX,2.33%,2.33%,2.36%,1.00%,N/A,1.00%,734,"1,258","2,694",True
4,Mid-Cap Growth,William Blair,2.89B,27.71%,0.00%,★★★★,"Dec 28, 2003",0.00,0.00,46.00%,N/A,WSMNX,1.35%,1.35%,1.44%,0.25%,N/A,N/A,447,778,"1,716",True
5,Mid-Cap Growth,Alger,189.73M,29.07%,0.00%,★★,"Jul 30, 1997",0.00,0.00,125.34%,N/A,AMGCX,2.11%,2.11%,2.11%,1.00%,N/A,1.00%,661,"1,134","2,441",True
6,Mid-Cap Growth,Hartford Mutual Funds,13.97B,25.07%,0.00%,★★★,"Dec 30, 1997",0.00,0.00,37.00%,N/A,HFMCX,1.11%,1.11%,1.11%,0.25%,5.50%,N/A,883,"1,128","1,827",True
7,Mid-Cap Growth,AMG Funds,97.63M,13.41%,0.08%,★★,"Jan 12, 1997",0.03,0.00,46.00%,N/A,MCMAX,1.08%,1.08%,1.09%,0.25%,N/A,N/A,346,600,"1,328",True
8,Mid-Cap Growth,Jackson Square,979.78M,19.05%,0.19%,★★★★,"Sep 18, 2016",0.05,0.00,47.00%,N/A,JSMTX,0.97%,0.97%,0.99%,0.00%,N/A,N/A,313,545,"1,211",True
9,Mid-Cap Growth,Hennessy,1.75B,25.54%,0.00%,★★★,"Jan 2, 1997",0.00,0.00,13.00%,N/A,HFCSX,1.48%,1.48%,1.48%,0.15%,N/A,N/A,468,808,"1,768",True
10,Mid-Cap Growth,JPMorgan,4.55B,28.32%,0.00%,★★★,"Nov 3, 1997",0.00,0.00,N/A,N/A,OMGCX,1.74%,1.74%,1.77%,0.75%,N/A,1.00%,554,956,"2,081",True
11,Mid-Cap Growth,Artisan,5.29B,33.63%,0.00%,★★★,"Mar 31, 2015",0.00,0.00,49.83%,N/A,APDMX,1.05%,1.05%,1.05%,N/A,N/A,N/A,334,579,"1,283",True
12,Mid-Cap Growth,Touchstone,1.2B,28.25%,0.00%,★★★★,"Mar 31, 2011",0.00,0.00,71.00%,N/A,TEGIX,0.97%,0.97%,0.97%,N/A,N/A,N/A,309,536,"1,190",True
13,Mid-Cap Growth,JPMorgan,4.55B,28.75%,0.00%,★★★,"Feb 17, 1992",0.00,0.00,N/A,N/A,OSGIX,1.24%,1.24%,1.31%,0.25%,5.25%,N/A,912,"1,199","2,015",True
14,Mid-Cap Growth,Touchstone,1.2B,28.20%,0.00%,★★★★,"Feb 1, 2009",0.00,0.00,71.00%,N/A,TEGYX,1.02%,1.02%,1.02%,N/A,N/A,N/A,325,563,"1,248",True
15,Mid-Cap Growth,AMG Funds,2.02B,28.20%,0.00%,★★★,"Feb 23, 2017",0.00,0.00,59.00%,N/A,TQMIX,1.03%,1.03%,1.03%,N/A,N/A,N/A,328,569,"1,259",True
16,Mid-Cap Growth,Riverbridge,114.55M,23.27%,0.00%,★★★★★,"Dec 30, 2012",0.00,0.00,25.00%,N/A,RIVBX,0.96%,0.96%,1.18%,N/A,N/A,N/A,353,628,"1,412",True
17,Mid-Cap Growth,Sit,162.2M,20.41%,0.00%,★★,"Sep 1, 1982",0.00,0.00,27.70%,N/A,NBNGX,1.25%,1.25%,1.25%,N/A,N/A,N/A,399,690,"1,518",True
